1	Nihar	India	Karnataka	Banglore	nihar@gmail.com	9087654321	nihar	Telugu
2	Lily	USA	California	Los Angeles	lily@gmail.com	8112245678	Lily	English
3	Harry	USA	Texas	San Antonio	harry@gmail.com	7878123654	harry	English
4	Safiya	South Korea	North Chungcheong	Jecheon	safiya@gmail.com	9123845670	safiya	English
5	Midenzi	Japan	Shikoku	Takamatsu	midenzi@gmail.com	8192034567	Midenzi	English
6	Nobokov	Russia	Moscow	Moscow	nobokov@gmail.com	7089162534	Nobokov	English
7	Danny	UK	Scotland	Edinburgh	danny@gmail.com	8790123465	danny	English
8	Theodore	UK	England	London	theodore@gmail.com	7601106721	theodore	English
10	Ram	India	Uttar Pradesh	Kanpur	ram@gmail.com	8905672341	Ram	Hindi
9	Juhail	Afghanishtan	Ghazni	Ghazni	juhail@gmail.com	8899123456	juhail	English
11	Rylee	India	Maharashtra	Pune	rylee@gmail.com	9867542310	Rylee	Hindi
12	Abhimanyu	India	Kerala	Kochu	abhimanyu@gmail.com	9123456780	abhimanyu	Malayalam
13	Jackie	China	Sichuan	Leshan	jackie@gmail.com	9987654321	Jackie	English
14	Rishitha N	India	Tamilnadu	Chennai	rishitha@gmail.com	9067854321	rishi	Hindi
15	$uname	$country	$state	$city	$email	$mob	$password	$langPref
16	hellloooooo	in	ni	in	helllo@gmail.com	1236547890	hello	ni
\.


